date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2015-07-31,28.7,23.3,33.3,52.1,,,10.8,,,334
2015-08-01,27.6,24.4,32.8,0,,,9,,1015.9,350
2015-08-02,29.4,26.1,32.8,0,,,8.6,,1015,224
2015-08-03,27.8,24.4,32.8,1,,,5.8,,1015.6,417
2015-08-04,28.8,24.4,33.3,0,,,8.3,,1017.5,655
2015-08-05,29.9,26.7,33.3,0,,,10.8,,1018.8,581
2015-08-06,30,26.7,33.3,0,,,9.4,,1017.5,663
2015-08-07,29.7,26.1,33.3,0,,,9.7,,1015.3,545
2015-08-08,29.1,25,33.9,27.4,,,7.6,,1014.1,475
2015-08-09,28.9,25.6,34.4,0.3,,,7.2,,1013.9,496
2015-08-10,28.4,24.4,33.3,32.5,,,4,,,466
2015-08-11,28.4,23.9,33.3,24.4,,,4,,,313
2015-08-12,28.6,24.4,34.4,0,,,6.5,,1016.1,574
2015-08-13,29.5,24.4,32.8,0,,,7.2,,1015.6,425
2015-08-14,28.2,22.8,33.3,17.3,,,7.9,,1016.4,293
2015-08-15,27.7,25,32.2,7.4,,,7.9,,1016.9,302
2015-08-16,28.7,25,32.8,5.3,,,13,,,602
2015-08-17,29.8,26.1,32.8,1.5,,94,14.4,,,513
2015-08-18,29.7,27.8,32.8,0.5,,105,12.6,,1016.5,344
2015-08-19,30,27.8,32.8,0.3,,130,12.2,,1016,534
2015-08-20,30.1,27.2,32.8,0,,121,11.2,,1015.9,561
2015-08-21,29.7,27.2,32.8,0,,,7.9,,1015.9,494
2015-08-22,29.6,24.4,33.9,15.5,,,4.7,,1015.1,385
2015-08-23,28.4,26.1,33.9,0,,,8.3,,1014,333
2015-08-24,29.6,27.2,32.8,6.6,,,7.6,,1013.5,446
2015-08-25,29.9,26.7,33.3,4.6,,,6.8,,1013.4,
2015-08-26,28.3,24.4,32.2,8.9,,,6.1,,,254
2015-08-27,26.7,23.9,32.2,2,,,9.4,,1014.4,
2015-08-28,29.3,26.7,33.3,0,,115,11.2,,1015.8,533
2015-08-29,29.9,26.7,33.9,3.6,,88,17.6,,1015.9,346
2015-08-30,27.1,23.9,28.9,70.1,,,13,,1015.4,0
2015-08-31,28.9,25.6,32.8,0,,,11.5,,1017,334
2015-09-01,29.6,26.7,32.8,0,,,7.9,,1018,531
2015-09-02,29.4,25,32.8,29.7,,,8.6,,1017.3,329
